Question / Field	English	Japanese
Q1 Title	World Environment Day (June 5) exists because two countries jointly proposed it to the UN in 1972. Which country is one of them?	世界環境デー（6月5日）は、1972年にある国が国連に提案したことで誕生しました。その国はどこ？
  A	Japan	日本
  B	Sweden — they hosted the conference, so they called dibs	スウェーデン —— 「ストックホルムで会議を開いたのはウチだし、ついでに提案者もウチということに」
  C	Brazil — "we have the Amazon, obviously it was us"	ブラジル —— 「アマゾンがあるから環境の話といえばウチでしょ」と本気で思っていた
  D	A coalition of nations who definitely weren't Japan	実は複数国の共同提案で、どの国が最初に言い出したか、今でも国連の議事録をめぐって議論が続いている
  Joke	Japan and Senegal jointly proposed it. Sweden hosted the conference. The UN said yes. And now your desk has a recycling bin under it. Circle of life.	日本とセネガルが共同提案し、スウェーデンが主催し、国連が採択。以来、毎年6月5日は150カ国以上が参加する国連の環境啓発キャンペーンに。ちなみにこの提案、当時の日本の産業公害（水俣病やイタイイタイ病）への国際的批判を受けての「環境外交」でもあったそうです。ESGの源流には、いつも誰かの危機対応があるんですね。
		
Q2 Title	Japan's Cool Biz campaign recommended office air conditioners be set to what target temperature?	日本の「クールビズ」キャンペーンで推奨されたオフィスのエアコン設定温度は？
  A	24°C, because 28°C was deemed too warm for wearing a full suit	25°C —— 28°Cは暑すぎると不評で、こっそり下げたオフィスが多数
  B	The temperature that perfectly balances comfort with passive-aggressive thermostat wars	リモコンが行方不明で、結局誰も設定温度を変えられなかった
  C	28°C (82.4°F)	28°C
  D	Whatever Facilities decides, and they are not budging	窓際と中央席で体感が違うため、室温28°Cの定義自体が曖昧
  Joke	Launched in 2005. Suits were banned. Short sleeves encouraged. Energy consumption dropped. Meanwhile, the office thermostat argument enters its 17th consecutive quarter.	2005年開始。スーツ禁止、半袖推奨。結果、年間約114万トンのCO₂削減に。今では「クールビズ」という言葉もすっかり定着し、夏のオフィス風景は一変しました。もっとも、「冷房28°C」を巡る社内の微妙な空気感だけは、20年経った今も変わっていないようですが。
		
Q3 Title	The Japanese concept Mottainai ("what a waste!") adds a fourth "R" to the classic Reduce, Reuse, Recycle. What is it?	日本の「もったいない」の精神が3R（Reduce, Reuse, Recycle）に追加した4つ目の「R」とは？
  A	Regret — the emotion you feel when you accidentally throw away a recyclable	Relax（リラックス） —— もったいない精神で節約した分、たまにはご褒美を
  B	Respect	Respect（敬意）
  C	Returns — as in, "our ESG fund's quarterly"	Report（レポート） —— 環境省が毎年「もったいない白書」を発行している
  D	Restructuring — applicable to anything, anywhere, forever	Really?（リアリー？） —— 観光客が「捨てるのもったいない。Really?」と言った
  Joke	Nobel laureate Wangari Maathai popularised it. The fourth R is Respect — for the Earth’s resources. Not to be confused with the typical corporate announcements.	ノーベル平和賞受賞者のワンガリ・マータイさんが世界的に広めた言葉です。ケニアの環境活動家だったマータイさんは、日本の「もったいない」という言葉に深く感銘を受け、4つ目のRとしてRespect（敬意）を提唱しました。日本の言葉と精神が、世界の環境運動に影響を与えた、誇らしいエピソードですね。
		
Q4 Title	Japan reports a plastic recycling rate of about 85%. Under international standards for actual material recycling, the real figure is approximately:	日本のプラスチック「リサイクル率」は約85%と報告されていますが、国際基準での 実際の材料リサイクル率 は約何%？
  A	A rate that varies depending on how you define recycling and plastic	約50% —— 環境省と経産省で計算方法が違い、数字が一致しない
  B	~62% — and the missing 23% was reclassified as "strategic thermal redeployment"	約62% —— 回収ボックスに入れた時点でリサイクル完了とみなす
  C	~85%, because Japan defined recycling to include burning things for electricity	約85% —— 燃やして電気を作ることもリサイクルに含めているため
  D	~24%	約24%
  Joke	The 85% figure includes "thermal recycling" — i.e., burning plastic for energy. The EU calls this "energy recovery." Welcome to ESG data: where every percentage has a footnote, and that footnote has a sub-footnote.	85%には「サーマルリサイクル」（＝燃やして発電）が含まれています。EUではこれを「エネルギー回収」と呼び、リサイクルとは認めていません。ESGデータの世界へようこそ：すべての数字には脚注があり、その脚注にも脚注があります。
		
Q5 Title	As of 2024, Japan accounts for approximately what share of the global climate transition bond market?	2024年現在、世界の「トランジションボンド（気候移行債）」発行市場において、日本は約何％のシェアを占めているでしょうか？
  A	~70%	約70%
  B	~25%, though mostly limited to the domestic retail market	約25% —— ただし、大半は国内の個人投資家向け市場に限られている
  C	~5%, because Japan historically prefers equity financing for decarbonisation	約5% —— 日本企業は脱炭素化の資金調達において、債券よりも株式発行を好む傾向があるため
  D	0% — Japan missed the filing deadline for the UN's climate taxonomy	0% —— 国連の気候タクソノミー（分類基準）への登録期限に間に合わなかったため
  Joke	The government's Green Transformation (GX) program has pioneered the space, helping hard-to-abate sectors fund their decarbonisation journey. The Japanese government and major banks are leading global efforts to establish clear frameworks for transition finance.	日本のGX（グリーントランスフォーメーション）政策がこの分野を牽引し、鉄鋼や海運など脱炭素化が難しい産業の移行を支援しています。日本は単なる投資撤退ではなく、実体経済の移行を支えるトランジション・ファイナンスの枠組み作りで世界をリードしています。
		
Q6 Title	Japan's Green Transformation (GX) strategy estimates how much combined public-private investment over the next 10 years?	日本の「GX（グリーントランスフォーメーション）」戦略が試算する、今後10年間に必要な官民投資総額は？
  A	50 trillion yen, plus whatever is left in the "miscellaneous" fund	100兆円 —— 官民折半の原則で、政府50兆円＋企業50兆円
  B	"More than last year's budget but less than the GDP of a medium-sized planet"	50兆円 —— その後、対象分野が増えるごとに金額が膨らんでいった
  C	150 trillion yen (~USD 1 trillion)	150兆円（約1兆米ドル）
  D	The exact amount that sounds plausible in a pitch book	200兆円 —— 物価上昇を見越して割り引くかで試算が大きく変わる
  Joke	That is about 3% of GDP annually, targeting 14–16 industrial sectors including hydrogen, offshore wind, and next-generation nuclear. Somewhere in Tokyo, a PM is building a deck titled "Massive Addressable Market."	年間GDPの約3%を、水素・洋上風力・次世代原子力など14〜16分野に投じる計画です。20兆円のGX経済移行債（世界初のソブリン気候移行債）で資金調達し、将来の炭素課金で返済するという循環型の資金メカニズム。壮大な構想であることは間違いありません。あとは実行あるのみ、ですね。
		
Q7 Title	Under Japan's FSA rules, can a fund market itself as an "ESG Fund" if its only strategy is negative screening (e.g., "we do not invest in tobacco")?	金融庁の規則では、ネガティブスクリーニング（「タバコには投資しません」など）だけをESG戦略とするファンドを「ESGファンド」と名乗れますか？
  A	Yes, provided the fund name also includes "sustainable" or "green"	はい —— ファンド名に「サステナブル」「グリーン」等を含めればOK
  B	No — ESG must be a primary selection factor with disclosed targets	いいえ —— ESGが主要な投資判断要素であり、具体的な目標開示が必要
  C	Yes, because negative screening qualifies under the 2018 guidance	はい —— ただし「ESGを考慮しています」の一文を目論見書に入れる必要あり
  D	No, unless the marketing deck uses a green colour palette and wind turbines	いいえ —— ただし「ESGに配慮した運用」という表現なら別カテゴリーで可
  Joke	The FSA tightened rules to combat greenwashing. Simply excluding tobacco and weapons manufacturers no longer cuts it. You need stated targets, reference benchmarks, and ongoing disclosure.	金融庁は2022〜2023年にかけて、グリーンウォッシング対策としてESGファンドの名称規制を強化しました。単に「タバコと武器を除外しています」だけでは不十分。明確なESG評価基準、参照ベンチマーク、継続的な情報開示が求められます。日本はこの分野で世界最先端の規制を導入した国の一つです。
		
Q8 Title	Japan became the world's first sovereign issuer of climate transition bonds, in February 2024. How will the ¥20 trillion debt be repaid?	日本は2024年2月、世界初のソブリン気候移行債を発行しました。20兆円の債務はどう返済されますか？
  A	By issuing additional transition bonds to repay the original ones	新たな移行債を発行して既存の移行債を返済する「循環モデル」
  B	"Growth will pay for it" — a sentence that has never backfired in sovereign debt	「経済成長が返済をカバーする」—— GDP押し上げ効果が上回る前提
  C	The bonds mature in 2050 alongside the net-zero target	2050年のネットゼロと満期が一致し、「未来への投資」として資産計上
  D	Revenue from future GX-ETS carbon auctions and the 2028 fossil fuel levy	将来のGX-ETS炭素オークション収入と2028年導入の化石燃料課徴金
  Joke	A genuine closed-loop mechanism: tax carbon emitters, use the proceeds to repay the bonds that funded decarbonisation. Whether this works depends on carbon prices actually rising, emitters actually paying, and politicians letting the mechanism run.	炭素排出者に課金し、その収入で脱炭素投資のための国債を償還する——理論上は見事なクローズドループです。実際に機能するかは、炭素価格が計画通り上昇するか、排出者がきちんと支払うか、そしてこの仕組みが政治的に長続きするかにかかっています。世界初の試み。日本がどこまで成功させるか、世界中のESG関係者が注目しています。
		
